#K-Path          Energy     s     py     pz     px    dxy    dyz    dz2    dxz  x2-y2    tot
# NKPTS & NBANDS: 600  14
# Band-Index    1
   1.47139     -9.133362  0.434  0.022  0.022  0.006  0.000  0.000  0.000  0.000  0.000  0.480
   1.47960     -9.108937  0.432  0.022  0.022  0.004  0.000  0.000  0.000  0.000  0.000  0.482
   1.48781     -9.084153  0.432  0.022  0.022  0.004  0.000  0.000  0.000  0.000  0.000  0.482
   1.49602     -9.059014  0.432  0.022  0.022  0.004  0.000  0.000  0.000  0.000  0.000  0.482
   1.50423     -9.033524  0.432  0.022  0.022  0.004  0.000  0.000  0.000  0.000  0.000  0.482
   1.51244     -9.007689  0.432  0.024  0.024  0.004  0.000  0.000  0.000  0.000  0.000  0.482
   1.52065     -8.981511  0.430  0.024  0.024  0.004  0.000  0.000  0.000  0.000  0.000  0.482
   1.52886     -8.954997  0.430  0.024  0.024  0.004  0.000  0.000  0.000  0.000  0.000  0.482
   1.53706     -8.928145  0.430  0.024  0.024  0.004  0.000  0.000  0.000  0.000  0.000  0.482
   1.54527     -8.900973  0.430  0.026  0.026  0.004  0.000  0.000  0.000  0.000  0.000  0.484
   1.55348     -8.873487  0.428  0.026  0.026  0.004  0.000  0.000  0.000  0.000  0.000  0.484
   1.56169     -8.845679  0.428  0.026  0.026  0.004  0.000  0.000  0.000  0.000  0.000  0.484
   1.56990     -8.817562  0.428  0.026  0.026  0.004  0.000  0.000  0.000  0.000  0.000  0.484
   1.57811     -8.789143  0.428  0.026  0.026  0.004  0.000  0.000  0.000  0.000  0.000  0.484
   1.58632     -8.760432  0.426  0.028  0.028  0.004  0.000  0.000  0.000  0.000  0.000  0.484
   1.59452     -8.731427  0.426  0.028  0.028  0.002  0.000  0.000  0.000  0.000  0.000  0.484
   1.60273     -8.702153  0.426  0.028  0.028  0.002  0.000  0.000  0.000  0.000  0.000  0.484
   1.61094     -8.672584  0.424  0.028  0.028  0.002  0.000  0.000  0.000  0.000  0.000  0.486
   1.61915     -8.642759  0.424  0.030  0.030  0.002  0.000  0.000  0.000  0.000  0.000  0.486
   1.62736     -8.612677  0.424  0.030  0.030  0.002  0.000  0.000  0.000  0.000  0.000  0.486
   1.63557     -8.582345  0.424  0.030  0.030  0.002  0.000  0.000  0.000  0.000  0.000  0.486
   1.64378     -8.551775  0.422  0.030  0.030  0.002  0.000  0.000  0.000  0.000  0.000  0.486
   1.65198     -8.520977  0.422  0.032  0.032  0.002  0.000  0.000  0.000  0.000  0.000  0.486
   1.66019     -8.489951  0.422  0.032  0.032  0.002  0.000  0.000  0.000  0.000  0.000  0.486
   1.66840     -8.458728  0.420  0.032  0.032  0.002  0.000  0.000  0.000  0.000  0.000  0.488
   1.67661     -8.427307  0.420  0.032  0.032  0.002  0.000  0.000  0.000  0.000  0.000  0.488
   1.68482     -8.395702  0.420  0.034  0.034  0.002  0.000  0.000  0.000  0.000  0.000  0.488
   1.69303     -8.363924  0.420  0.034  0.034  0.002  0.000  0.000  0.000  0.000  0.000  0.488
   1.70124     -8.331987  0.418  0.034  0.034  0.002  0.000  0.000  0.000  0.000  0.000  0.488
   1.70945     -8.299905  0.418  0.034  0.034  0.000  0.000  0.000  0.000  0.000  0.000  0.488
   1.71765     -8.267692  0.418  0.036  0.036  0.000  0.000  0.000  0.000  0.000  0.000  0.488
   1.72586     -8.235364  0.416  0.036  0.036  0.000  0.000  0.000  0.000  0.000  0.000  0.490
   1.73407     -8.202936  0.416  0.036  0.036  0.000  0.000  0.000  0.000  0.000  0.000  0.490
   1.74228     -8.170426  0.416  0.036  0.036  0.000  0.000  0.000  0.000  0.000  0.000  0.490
   1.75049     -8.137851  0.414  0.038  0.038  0.000  0.000  0.000  0.000  0.000  0.000  0.490
   1.75870     -8.105230  0.414  0.038  0.038  0.000  0.000  0.000  0.000  0.000  0.000  0.490
   1.76691     -8.072583  0.412  0.038  0.038  0.000  0.000  0.000  0.000  0.000  0.000  0.490
   1.77511     -8.039930  0.412  0.040  0.040  0.000  0.000  0.000  0.000  0.000  0.000  0.490
   1.78332     -8.007292  0.412  0.040  0.040  0.000  0.000  0.000  0.000  0.000  0.000  0.490
   1.79153     -7.974697  0.410  0.040  0.040  0.000  0.000  0.000  0.000  0.000  0.000  0.490
   1.79974     -7.942160  0.410  0.040  0.040  0.000  0.000  0.000  0.000  0.000  0.000  0.490
   1.80795     -7.909710  0.409  0.041  0.041  0.000  0.000  0.000  0.000  0.000  0.000  0.491
   1.80795     -7.909710  0.409  0.041  0.041  0.000  0.000  0.000  0.000  0.000  0.000  0.491
   1.81375     -7.909753  0.409  0.040  0.042  0.000  0.000  0.000  0.000  0.000  0.000  0.491
   1.81956     -7.909882  0.409  0.039  0.043  0.000  0.000  0.000  0.000  0.000  0.000  0.491
   1.82536     -7.910096  0.408  0.039  0.043  0.000  0.000  0.000  0.000  0.000  0.000  0.491
   1.83117     -7.910396  0.408  0.038  0.045  0.000  0.000  0.000  0.000  0.000  0.000  0.491
   1.83697     -7.910781  0.408  0.037  0.045  0.000  0.000  0.000  0.000  0.000  0.000  0.491
   1.84277     -7.911250  0.408  0.036  0.046  0.000  0.000  0.000  0.000  0.000  0.000  0.491
   1.84858     -7.911804  0.408  0.036  0.047  0.000  0.000  0.000  0.000  0.000  0.000  0.491
